,mean_pre,mean_post,annualized_pre_%,annualized_post_%,welch_t,p_value
SMB,0.0018497732426303855,0.0011735849056603777,2.2197278911564626,1.4083018867924533,0.3282662182193853,0.7428330604265427
HML,0.004009183673469388,0.0022578616352201255,4.811020408163266,2.709433962264151,0.7706534000323174,0.44122375941616887
