,alpha,alpha_t,alpha_p,beta_mkt,beta_smb,beta_hml,r2,n_obs
SMALL LoBM,-0.005009523672759465,-2.8847712378411643,0.004187888330859108,1.1718032343653852,1.397697865138212,-0.27191912503099547,0.8706839428367309,318.0
ME1 BM2,0.0006980991449322158,0.5385338350980279,0.5905901102540407,0.9619041092069958,1.3840875741308163,-0.0319038907424397,0.9033685250783235,318.0
ME1 BM3,0.00032292941795668034,0.3390290301270845,0.7348144767261382,0.9153485638812263,1.068255272682751,0.30097600850260103,0.9276197075484895,318.0
ME1 BM4,0.001890614953725779,2.3012206828702744,0.022033809956381704,0.8436554839981999,1.125816994783089,0.5350619291155222,0.9447035589910694,318.0
SMALL HiBM,0.0027783878287402338,1.9519174205914156,0.051836653661338855,0.9127912155596045,1.0588714506779189,0.7267966860271906,0.8614159235666103,318.0
ME2 BM1,-0.0009197949080706364,-0.8016409814223199,0.4233668879614402,1.1167545548601676,1.0854261131537197,-0.24791460595316767,0.9228373282955438,318.0
ME2 BM2,0.001931656810720278,2.0611529988285584,0.040111499627808585,0.9801399035954733,0.9291462792107446,0.16803129140977277,0.9281999118558705,318.0
ME2 BM3,0.001776372679444852,1.7663479936393855,0.07830907685632404,0.9844655780469483,0.7052724821103248,0.4278462544786141,0.9085379693846544,318.0
ME2 BM4,0.000641702597074939,0.8226356528816942,0.4113394882693776,0.9225973608113404,0.7911153819593694,0.6208056572859803,0.9441612636582277,318.0
ME2 BM5,-9.756430591787762e-05,-0.1203358536533733,0.9042940641366358,1.0664821862294973,0.9346601681783051,0.8654338918752346,0.9569341130110832,318.0
ME3 BM1,-0.0011847325074614873,-1.1605046200853368,0.24672496852274353,1.1028018878556427,0.7965254865053052,-0.29946031020677116,0.9261401924606304,318.0
ME3 BM2,0.0016991619282770258,1.6972764693168698,0.09063526682454379,0.9873777496227047,0.5481123907534136,0.21248955262101252,0.8978688286494894,318.0
ME3 BM3,0.0007441986521808495,0.7505413351523543,0.4534907846432281,0.9776042096709379,0.3665251648911946,0.44830935059048527,0.8923653048159546,318.0
ME3 BM4,0.0006260727707402015,0.632558760113965,0.5274821748894825,1.0051767625666097,0.44417830413736087,0.6714939587257451,0.9079832040742863,318.0
ME3 BM5,0.0006535176308698301,0.5444807366541764,0.5864971503392973,1.084890074342246,0.5356681409439702,0.9347959286645011,0.8980246869691054,318.0
ME4 BM1,0.0006951270772396395,0.7315454734539395,0.46499162811342043,1.0505371035355253,0.5007587528498286,-0.285353402790221,0.9177769814013874,318.0
ME4 BM2,0.0017096353293661662,1.7829455161370442,0.07556111520790329,1.017577584760049,0.18875767002146912,0.25075797787122034,0.8923359029587841,318.0
ME4 BM3,0.0010271020560104313,0.9438500218768723,0.3459719537142548,1.0077767855642903,0.10764727313010489,0.4888016218845274,0.8677659134240431,318.0
ME4 BM4,0.0011138908983100943,0.9440574341388378,0.3458661261883468,1.0086016852197792,0.259921601162802,0.5834014885065558,0.8605850568713291,318.0
ME4 BM5,-0.0016556213834314538,-1.247353553029264,0.21319739957975906,1.1171094283815965,0.26439414545809076,0.9193396433299423,0.8709247136607102,318.0
BIG LoBM,0.0015902314538612523,3.286611068694824,0.0011288468655621605,1.0030800818407228,-0.23501892635623542,-0.3158913626492798,0.9667360159962748,318.0
ME5 BM2,0.0012216302864887533,1.4561550713047586,0.14634889409035992,0.8969012201103403,-0.1958738266644631,0.15295329446168748,0.8797769268702289,318.0
ME5 BM3,0.0012526410148013146,1.2849946764300586,0.1997411963581743,0.8694728406606668,-0.11800258229947125,0.37700144356618515,0.8482222139979543,318.0
ME5 BM4,-0.003082802620619422,-2.9552685178606213,0.0033603661983946454,0.9940177693795642,-0.18382852193963575,0.739332543884905,0.8827532291288567,318.0
BIG HiBM,-0.0003371663086315997,-0.18148933431226685,0.8561006011285686,1.2345219887423495,-0.17512469351010837,0.8379702337539585,0.7791144976170868,318.0
